Type,R,R,SR,R,R,R,R,R,R,R
,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
Country,us,at,at,be,gb,gb,it,es,es,br
P1,Andresito,Gunner,Gunner,Gunner,,,,,,
P2,Carlos Martins,Rafael Sanches,Heliakim,Carlos Martins,,,,,,
P3,Gunner,Andresito,Hiran Pelosi,Henrique Novaes,,,,,,
P4,Henrique Novaes,Razor,Well,Rafael Sanches,,,,,,
P5,Hernan,Carlos Martins,Verdugo,Hernan,,,,,,
P6,Razor,Hernan,Rafael Lemes,Andresito,,,,,,
P7,Gilvan,Gilvan,Andresito,Quezadoe,,,,,,
P8,Hiran Pelosi,Quezadoe,Razor,Verdugo,,,,,,
P9,Quezadoe,Alexandro,Carlos Martins,Heliakim,,,,,,
P10,Ricardo,Rudnei,Alexandro,Hiran Pelosi,,,,,,
P11,Rudnei,Rafael Lemes,Ricardo,Alexandro,,,,,,
P12,Alexandro,Ricardo,Rudnei,Rafael Lemes,,,,,,
P13,Well,Jean Rodrigo,Quezadoe,Adriano Tahariel,,,,,,
P14,,Jestem,Jean Rodrigo,Razor,,,,,,
P15,,Verdugo,Jo達o Feliz,Ricardo,,,,,,
P16,,Well,Jestem,Jo達o Feliz,,,,,,
P17,,Adriano Tahariel,,,,,,,,
P18,,Jo達o Feliz,,,,,,,,
P19,,Hiran Pelosi,,,,,,,,
P20,,,,,,,,,,
P21,,,,,,,,,,
P22,,,,,,,,,,
FL,Well,Gunner,Rafael Sanches,Henrique Novaes,,,,,,
Pole,Andresito,Rafael Sanches,Gunner,Andresito,,,,,,
DOTD,Hiran Pelosi,,Rafael Lemes,,,,,,,
CD,Carlos Martins,,Rafael Lemes,Henrique Novaes,,,,,,
DNF,Adriano Tahariel,Heliakim,Rafael Sanches,Gilvan,,,,,,
DNF,Jo達o Feliz,,Hernan,,,,,,,
DNF,Verdugo,,Gilvan,,,,,,,
DNF,,,Adriano Tahariel,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data,20/03/2026,27/03/2026,03/04/2026,10/04/2026,17/04/2026,24/04/2026,01/05/2026,08/05/2026,15/05/2026,22/05/2026
Horario,21:00 BRT,21:00 BRT,21:00 BRT,21:00 BRT,21:00 BRT,21:00 BRT,21:00 BRT,21:00 BRT,21:00 BRT,21:00 BRT
GP,Las Vegas,Austria,Austria,Belgium,Silverstone,Silverstone,Imola,Barcelona,Barcelona,Interlagos