Piloto,ID,Display,Country,Points,Win,Podium,Top 10,FL,Pole,DOTD,CD,DNF,Entries,Equipe,teamcolor,,best,worst,sprintWin,sprintPodium,sprintPole,sprintTop10,sprintFL,sprintDNF,sprintEntries,sprintBest,sprintWorst,penalty,safetyRating,avgPos,totalEntries,totalWins,totalPodiums,totalPole,totalFL,totalDNF,###IGNORAR###,wccChampion,wdcChampion
Gunner,,Tahariel,br,66,2,3,3,1,0,0,0,0,3,McLaren,ff8000,,P1,P3,1,1,1,1,0,0,1,P1,P1,0,,1.50,4,3,4,1,1,0,,1,1
Henrique Novaes,,Alexandro,br,31,0,1,2,1,0,0,1,0,2,McLaren,ff8000,,P3,P4,0,0,0,0,0,0,0,P999,P0,0,,3.50,2,0,1,0,1,0,,1,1
Andresito,,Andres,ar,57,1,2,3,0,2,0,0,0,3,Mercedes,22cfb2ff,,P1,P6,0,0,0,1,0,0,1,P7,P7,0,,4.25,4,1,2,2,0,0,,0,
Carlos Martins,,Antonino,ar,52,0,2,3,0,0,0,2,0,3,Mercedes,22cfb2ff,,P2,P5,0,0,0,1,0,0,1,P9,P9,0,,4.50,4,0,2,0,0,0,,1,
Quezadoe,,Bruno,br,34,0,0,3,0,0,0,0,0,3,Red Bull,3671c6,,P7,P9,0,0,0,0,0,0,1,P13,P13,0,,9.25,4,0,0,0,0,0,,1,
Well,,Vikuluca,ar,16,0,0,0,1,0,0,0,0,2,Red Bull,3671c6,,P13,P16,0,0,0,1,0,0,1,P4,P4,0,,11.00,3,0,0,0,1,0,,0,
Hiran Pelosi,,Hiran,br,29,0,0,2,0,0,1,0,0,3,Ferrari,e80020,,P8,P19,0,1,0,1,0,0,1,P3,P3,0,,10.00,4,0,1,0,0,0,,0,
Alexandro,,Jederson,br,26,0,0,1,0,0,0,0,0,3,Ferrari,e80020,,P9,P12,0,0,0,1,0,0,1,P10,P10,0,,10.50,4,0,0,0,0,0,,0,0
Rafael Lemes,,Joao,br,20,0,0,0,0,0,1,1,0,2,Williams,64c4ff,,P11,P12,0,0,0,1,0,0,1,P6,P6,0,,9.67,3,0,0,0,0,0,,0,
Razor,,Joaquin,ar,36,0,0,2,0,0,0,0,0,3,Williams,64c4ff,,P4,P14,0,0,0,1,0,0,1,P8,P8,0,,8.00,4,0,0,0,0,0,,0,
Verdugo,,Schuchter,br,21,0,0,1,0,0,0,0,1,3,Racing Bulls,6692ff,,P8,P15,0,0,0,1,0,0,1,P5,P5,0,,9.33,4,0,0,0,0,1,,0,
Hernan,,Matias,ar,41,0,0,3,0,0,0,0,0,3,Racing Bulls,6692ff,,P5,P6,0,0,0,0,0,1,1,P999,P0,0,,5.33,4,0,0,0,0,1,,0,
Ricardo,,Maxi,ar,21,0,0,1,0,0,0,0,0,3,Aston Martin,229971,,P10,P15,0,0,0,0,0,0,1,P11,P11,0,,12.00,4,0,0,0,0,0,,0,
Gilvan,,Murilo,br,24,0,0,2,0,0,0,0,1,3,Aston Martin,229971,,P7,P7,0,0,0,0,0,1,1,P999,P0,0,,7.00,4,0,0,0,0,2,,0,
Rudnei,,Rafael,br,18,0,0,1,0,0,0,0,0,2,Haas,a5a9acff,,P10,P11,0,0,0,0,0,0,1,P12,P12,0,,11.00,3,0,0,0,0,0,,0,
Adriano Tahariel,,Ricardo,de,8,0,0,0,0,0,0,0,1,3,Haas,a5a9acff,,P13,P17,0,0,0,0,0,1,1,P999,P0,0,,15.00,4,0,0,0,0,2,,0,
Heliakim,,Rudnei,br,19,0,0,1,0,0,0,0,1,2,Sauber,00ff00,,P9,P9,0,1,0,1,0,0,1,P2,P2,0,,5.50,3,0,1,0,0,1,,0,
Jestem,,Jestem,br,5,0,0,0,0,0,0,0,0,1,Sauber,00ff00,,P14,P14,0,0,0,0,0,0,1,P16,P16,0,,15.00,2,0,0,0,0,0,,0,
João Feliz,,Vinicius,br,5,0,0,0,0,0,0,0,1,3,Alpine,0093cc,,P16,P18,0,0,0,0,0,0,1,P15,P15,0,,16.33,4,0,0,0,0,1,,0,
Jean Rodrigo,,Wellington,br,7,0,0,0,0,0,0,0,0,1,Alpine,0093cc,,P13,P13,0,0,0,0,0,0,1,P14,P14,0,,13.50,2,0,0,0,0,0,,0,
Rafael Sanches,,Teodoro,br,35,0,1,2,0,1,0,0,0,2,,,,P2,P4,0,0,0,0,1,1,1,P999,P0,0,,3,3,0,1,1,1,1,,0,
Micaely,,,br,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,
#,,,br,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,
#,,,br,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,
#,,,br,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,
#,,,br,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,
#,,,br,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,
#,,,br,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,
#,,,br,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,
#,,,br,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,
#,,,br,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,
#,,,br,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,
#,,,br,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,
#,,,br,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,