Type,R,SR,SR,SR,,,,,,
,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
GP,sa,at,at,be,gb,gb,it,es,es,br
P1,Tahariel,Tahariel,Tahariel,Tahariel,Tahariel,,,,,
P2,Jederson,,,,,,,,,
P3,,,,,,,,,,
P4,,,,,,,,,,
P5,,,,,,,,,,
P6,,,,,,,,,,
P7,,,,,,,,,,
P8,,,,,,,,,,
P9,,,,,,,,,,
P10,,,,,,,,,,
P11,,,,,,,,,,
P12,,,,,,,,,,
P13,,,,,,,,,,
P14,,,,,,,,,,
P15,,,,,,,,,,
P16,,,,,,,,,,
P17,,,,,,,,,,
P18,,,,,,,,,,
P19,,,,,,,,,,
P20,,,,,,,,,,
P21,,,,,,,,,,
P22,,,,,,,,,,
FL,Tahariel,,,,,,,,,
Pole,Tahariel,Tahariel,,,,,,,,
DOTD,,Tahariel,,,Tahariel,,,,,
CD,,,,Tahariel,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
DNF,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,
NP,,,,,,,,,,